???,FUNKY_SPELL
C3RS,DRAW_3_RANDOM
REQPROJ,IF_PROJECTILE
REQHP,IF_HP
REQENEMY,IF_ENEMY
REQOTHER,IF_HALF
OTHERWISE,IF_ELSE
END,IF_END
PORTAL,SUMMON_PORTAL
EOE,ALL_SPELLS
2X,DUPLICATE
DFIELD,AREA_DAMAGE
BL,BLOODLUST
DPLUS,DAMAGE
MTD,DAMAGE_FOREVER
RD,DAMAGE_RANDOM
